criterion , max_depth , min_samples_split , Accuracy
gini , None , 2 , 0.776416575791
gini , None , 3 , 0.775651035987
gini , None , 4 , 0.781377680843
gini , None , 5 , 0.777945474373
gini , None , 6 , 0.779086150491
gini , None , 7 , 0.782905125409
gini , None , 8 , 0.781757906216
gini , None , 9 , 0.785575427117
gini , None , 10 , 0.782522719011
gini , 5 , 2 , 0.691707015631
gini , 5 , 3 , 0.69132606325
gini , 5 , 4 , 0.691707015631
gini , 5 , 5 , 0.69132606325
gini , 5 , 6 , 0.692087968012
gini , 5 , 7 , 0.692089422028
gini , 5 , 8 , 0.69132606325
gini , 5 , 9 , 0.69208869502
gini , 5 , 10 , 0.692469647401
gini , 10 , 2 , 0.787486732097
gini , 10 , 3 , 0.790156306798
gini , 10 , 4 , 0.789774627408
gini , 10 , 5 , 0.784816430389
gini , 10 , 6 , 0.787484551072
gini , 10 , 7 , 0.781382769902
gini , 10 , 8 , 0.781001090513
gini , 10 , 9 , 0.786338058888
gini , 10 , 10 , 0.789391494002
gini , 20 , 2 , 0.776418029807
gini , 20 , 3 , 0.773368229735
gini , 20 , 4 , 0.776800436205
gini , 20 , 5 , 0.773366775718
gini , 20 , 6 , 0.779086877499
gini , 20 , 7 , 0.780234096692
gini , 20 , 8 , 0.782524900036
gini , 20 , 9 , 0.779087604507
gini , 20 , 10 , 0.782140312614
gini , 30 , 2 , 0.774511086877
gini , 30 , 3 , 0.774894220284
gini , 30 , 4 , 0.774509632861
gini , 30 , 5 , 0.772604870956
gini , 30 , 6 , 0.779088331516
gini , 30 , 7 , 0.780999636496
gini , 30 , 8 , 0.779089058524
gini , 30 , 9 , 0.787864049437
gini , 30 , 10 , 0.785957106507
gini , 40 , 2 , 0.777179207561
gini , 40 , 3 , 0.778328607779
gini , 40 , 4 , 0.778711741185
gini , 40 , 5 , 0.776034169393
gini , 40 , 6 , 0.775655398037
gini , 40 , 7 , 0.78328607779
gini , 40 , 8 , 0.778707379135
gini , 40 , 9 , 0.782141039622
gini , 40 , 10 , 0.789390766994
gini , 50 , 2 , 0.77298436932
gini , 50 , 3 , 0.771837150127
gini , 50 , 4 , 0.782520537986
gini , 50 , 5 , 0.770314067612
gini , 50 , 6 , 0.777943293348
gini , 50 , 7 , 0.780617957107
gini , 50 , 8 , 0.779090512541
gini , 50 , 9 , 0.784813522356
gini , 50 , 10 , 0.782902944384
gini , 60 , 2 , 0.776418029807
gini , 60 , 3 , 0.781374045802
gini , 60 , 4 , 0.776803344238
gini , 60 , 5 , 0.782902217375
gini , 60 , 6 , 0.781378407852
gini , 60 , 7 , 0.781761541258
gini , 60 , 8 , 0.78671828426
gini , 60 , 9 , 0.78404870956
gini , 60 , 10 , 0.784812068339
gini , 70 , 2 , 0.774893493275
gini , 70 , 3 , 0.772602689931
gini , 70 , 4 , 0.775278080698
