politician , decision_tree , svm
alan_keyes , 0.75 , 0.65
al_franken , 0.85 , 0.15
amy_klobuchar , 0.842105263158 , 0.263157894737
angus_king , 0.444444444444 , 0.388888888889
barack_obama , 0.736842105263 , 0.263157894737
barbara_boxer , 0.8 , 0.35
barbara_mikulski , 0.85 , 0.25
benjamin_cardin , 0.85 , 0.5
ben_carson , 0.684210526316 , 0.578947368421
ben_sasse , 1.0 , 0.5625
bernie_sanders , 0.65 , 0.3
bill_cassidy , 0.857142857143 , 0.5
bill_clinton , 0.8 , 0.7
bill_nelson , 0.789473684211 , 0.210526315789
bobby_jindal , 0.8 , 0.8
bob_casey , 0.736842105263 , 0.473684210526
bob_corker , 0.866666666667 , 0.933333333333
brian_schatz , 0.631578947368 , 0.684210526316
carly_fiorina , 0.833333333333 , 0.666666666667
charles_schumer , 0.210526315789 , 0.631578947368
chris_christie , 0.631578947368 , 0.473684210526
chris_coons , 0.8 , 0.4
chris_murphy , 0.65 , 0.3
chuck_grassley , 0.9 , 0.8
claire_mccaskill , 0.578947368421 , 0.368421052632
cory_booker , 0.7 , 0.45
cory_gardner , 0.611111111111 , 0.611111111111
daniel_coats , 0.789473684211 , 0.526315789474
dan_sullivan , 0.928571428571 , 0.428571428571
david_perdue , 0.666666666667 , 0.333333333333
david_vitter , 0.842105263158 , 0.421052631579
dean_heller , 0.764705882353 , 0.470588235294
debbie_stabenow , 0.85 , 0.5
deb_fischer , 0.947368421053 , 0.578947368421
dianne_feinstein , 0.85 , 0.6
donald_trump , 0.578947368421 , 0.789473684211
dwight_eisenhower , 0.733333333333 , 0.666666666667
ed_markey , 0.95 , 0.35
elizabeth_warren , 0.894736842105 , 0.263157894737
gary_johnson , 0.55 , 0.5
gary_peters , 0.315789473684 , 0.736842105263
george_bush_sr , 0.666666666667 , 0.722222222222
george_pataki , 0.444444444444 , 0.611111111111
george_w_bush , 0.65 , 0.65
gerald_ford , 0.722222222222 , 0.666666666667
harry_reid , 0.894736842105 , 0.210526315789
heidi_heitkamp , 0.5 , 0.4375
hillary_clinton , 0.9 , 0.35
jack_reed , 0.157894736842 , 0.789473684211
james_inhofe , 0.85 , 0.7
james_lankford , 0.647058823529 , 0.294117647059
james_webb , 0.625 , 0.3125
jeanne_shaheen , 0.823529411765 , 0.705882352941
jeb_bush , 0.6 , 0.65
jeff_flake , 0.75 , 0.65
jeff_merkley , 0.8 , 0.3
jeff_sessions , 0.75 , 0.8
jerry_moran , 0.9 , 0.6
jill_stein , 0.9 , 0.35
jimmy_carter , 0.578947368421 , 0.315789473684
jim_gilmore , 0.722222222222 , 0.666666666667
