kernel , C , gamma , Accuracy
rbf , 1 , 0.0001,0.54215921483097063
rbf , 1 , 0.001,0.54215921483097063
rbf , 1 , 0.01,0.54215921483097063
rbf , 1 , 0.1,0.54520756088695022
rbf , 1 , 1,0.57991494002181021
rbf , 10 , 0.0001,0.54215921483097063
rbf , 10 , 0.001,0.54215921483097063
rbf , 10 , 0.01,0.54291748455107236
rbf , 10 , 0.1,0.57838822246455845
rbf , 10 , 1,0.57075972373682293
rbf , 20 , 0.0001,0.54215921483097063
rbf , 20 , 0.001,0.54215921483097063
rbf , 20 , 0.01,0.55932969829153034
rbf , 20 , 0.1,0.57533551435841512
rbf , 20 , 1,0.55970192657215567
rbf , 30 , 0.0001,0.54215921483097063
rbf , 30 , 0.001,0.54215921483097063
rbf , 30 , 0.01,0.58030897855325336
rbf , 30 , 0.1,0.5715187204652854
rbf , 30 , 1,0.56389894583787714
rbf , 40 , 0.0001,0.54215921483097063
rbf , 40 , 0.001,0.54215921483097063
rbf , 40 , 0.01,0.57992366412213736
rbf , 40 , 0.1,0.57533333333333325
rbf , 40 , 1,0.56351508542348239
rbf , 50 , 0.0001,0.54215921483097063
rbf , 50 , 0.001,0.54215921483097063
rbf , 50 , 0.01,0.58030243547800797
rbf , 50 , 0.1,0.58067539076699393
rbf , 50 , 1,0.57152453653217017
poly , 1 , 0.0001,0.54215921483097063
poly , 1 , 0.001,0.54215921483097063
poly , 1 , 0.01,0.54215921483097063
poly , 1 , 0.1,0.54215921483097063
poly , 1 , 1,0.57459105779716457
poly , 10 , 0.0001,0.54215921483097063
poly , 10 , 0.001,0.54215921483097063
poly , 10 , 0.01,0.54215921483097063
poly , 10 , 0.1,0.54215921483097063
poly , 10 , 1,0.57917266448564164
poly , 20 , 0.0001,0.54215921483097063
poly , 20 , 0.001,0.54215921483097063
poly , 20 , 0.01,0.54215921483097063
poly , 20 , 0.1,0.54215921483097063
poly , 20 , 1,0.5806957470010905
poly , 30 , 0.0001,0.54215921483097063
poly , 30 , 0.001,0.54215921483097063
poly , 30 , 0.01,0.54215921483097063
poly , 30 , 0.1,0.54215921483097063
poly , 30 , 1,0.58565539803707733
poly , 40 , 0.0001,0.54215921483097063
poly , 40 , 0.001,0.54215921483097063
poly , 40 , 0.01,0.54215921483097063
poly , 40 , 0.1,0.54215921483097063
poly , 40 , 1,0.58527662668120684
poly , 50 , 0.0001,0.54215921483097063
poly , 50 , 0.001,0.54215921483097063
poly , 50 , 0.01,0.54215921483097063
poly , 50 , 0.1,0.54215921483097063
poly , 50 , 1,0.58298945837877136
sigmoid , 1 , 0.0001,0.54215921483097063
sigmoid , 1 , 0.001,0.54215921483097063
sigmoid , 1 , 0.01,0.54215921483097063
sigmoid , 1 , 0.1,0.54215921483097063
sigmoid , 1 , 1,0.57612068338785893
sigmoid , 10 , 0.0001,0.54215921483097063
sigmoid , 10 , 0.001,0.54215921483097063
sigmoid , 10 , 0.01,0.54215921483097063
sigmoid , 10 , 0.1,0.57649291166848415
sigmoid , 10 , 1,0.59747728098873143
sigmoid , 20 , 0.0001,0.54215921483097063
sigmoid , 20 , 0.001,0.54215921483097063
sigmoid , 20 , 0.01,0.54063177026535802
sigmoid , 20 , 0.1,0.57382479098509631
sigmoid , 20 , 1,0.57956234096692116
sigmoid , 30 , 0.0001,0.54215921483097063
sigmoid , 30 , 0.001,0.54215921483097063
sigmoid , 30 , 0.01,0.5520821519447473
sigmoid , 30 , 0.1,0.57306288622319157
sigmoid , 30 , 1,0.56276772082878945
sigmoid , 40 , 0.0001,0.54215921483097063
sigmoid , 40 , 0.001,0.54215921483097063
sigmoid , 40 , 0.01,0.56047764449291171
sigmoid , 40 , 0.1,0.57764158487822603
sigmoid , 40 , 1,0.54711450381679394
sigmoid , 50 , 0.0001,0.54215921483097063
sigmoid , 50 , 0.001,0.54215921483097063
sigmoid , 50 , 0.01,0.56734714649218465
sigmoid , 50 , 0.1,0.57649945474372954
sigmoid , 50 , 1,0.53835114503816794
