criterion , max_depth , min_samples_split , Accuracy
gini , None , 2 , 0.752755361687
gini , None , 3 , 0.753901126863
gini , None , 4 , 0.74817739004
gini , None , 5 , 0.751232279171
gini , None , 6 , 0.74894002181
gini , None , 7 , 0.750468193384
gini , None , 8 , 0.744367139222
gini , None , 9 , 0.752373682297
gini , None , 10 , 0.755046892039
gini , 5 , 2 , 0.709258451472
gini , 5 , 3 , 0.707351508542
gini , 5 , 4 , 0.706588876772
gini , 5 , 5 , 0.705824063977
gini , 5 , 6 , 0.709259178481
gini , 5 , 7 , 0.705061432206
gini , 5 , 8 , 0.706587422755
gini , 5 , 9 , 0.707351508542
gini , 5 , 10 , 0.706969102145
gini , 10 , 2 , 0.759251181389
gini , 10 , 3 , 0.75848346056
gini , 10 , 4 , 0.761538349691
gini , 10 , 5 , 0.755435114504
gini , 10 , 6 , 0.756575790622
gini , 10 , 7 , 0.76649654671
gini , 10 , 8 , 0.762682660851
gini , 10 , 9 , 0.760776444929
gini , 10 , 10 , 0.759627044711
gini , 20 , 2 , 0.755044711014
gini , 20 , 3 , 0.757713558706
gini , 20 , 4 , 0.753521628499
gini , 20 , 5 , 0.750852780807
gini , 20 , 6 , 0.756194111232
gini , 20 , 7 , 0.753138495093
gini , 20 , 8 , 0.752373682297
gini , 20 , 9 , 0.750085786987
gini , 20 , 10 , 0.751992002908
gini , 30 , 2 , 0.746268266085
gini , 30 , 3 , 0.755425663395
gini , 30 , 4 , 0.752759723737
gini , 30 , 5 , 0.753137768084
gini , 30 , 6 , 0.750466739368
gini , 30 , 7 , 0.754663031625
gini , 30 , 8 , 0.748561250454
gini , 30 , 9 , 0.751227917121
gini , 30 , 10 , 0.751611777535
gini , 40 , 2 , 0.75008869502
gini , 40 , 3 , 0.751994910941
gini , 40 , 4 , 0.752370047256
gini , 40 , 5 , 0.751994183933
gini , 40 , 6 , 0.750465285351
gini , 40 , 7 , 0.748559796438
gini , 40 , 8 , 0.753518720465
gini , 40 , 9 , 0.747411123228
gini , 40 , 10 , 0.750849872774
gini , 50 , 2 , 0.743217739004
gini , 50 , 3 , 0.750468920393
gini , 50 , 4 , 0.742074881861
gini , 50 , 5 , 0.750470374409
gini , 50 , 6 , 0.75008433297
gini , 50 , 7 , 0.750848418757
gini , 50 , 8 , 0.750852780807
gini , 50 , 9 , 0.74741475827
gini , 50 , 10 , 0.744357688113
gini , 60 , 2 , 0.749323882225
gini , 60 , 3 , 0.751612504544
gini , 60 , 4 , 0.744748818611
gini , 60 , 5 , 0.744362777172
gini , 60 , 6 , 0.749707742639
gini , 60 , 7 , 0.748564885496
gini , 60 , 8 , 0.753899672846
gini , 60 , 9 , 0.756953834969
gini , 60 , 10 , 0.747032351872
gini , 70 , 2 , 0.74550781534
gini , 70 , 3 , 0.750469647401
gini , 70 , 4 , 0.749320247183
gini , 70 , 5 , 0.751227917121
gini , 70 , 6 , 0.754286441294
gini , 70 , 7 , 0.751228644129
gini , 70 , 8 , 0.748561250454
gini , 70 , 9 , 0.744748818611
gini , 70 , 10 , 0.749318793166
gini , 80 , 2 , 0.75351653944
gini , 80 , 3 , 0.745502726281
gini , 80 , 4 , 0.747801526718
gini , 80 , 5 , 0.753135587059
gini , 80 , 6 , 0.744364958197
gini , 80 , 7 , 0.751989094875
gini , 80 , 8 , 0.748175936023
gini , 80 , 9 , 0.749317339149
gini , 80 , 10 , 0.748561977463
gini , 90 , 2 , 0.745127589967
gini , 90 , 3 , 0.749322428208
gini , 90 , 4 , 0.753137768084
gini , 90 , 5 , 0.75390258088
gini , 90 , 6 , 0.748563431479
gini , 90 , 7 , 0.752375863322
gini , 90 , 8 , 0.751992729916
gini , 90 , 9 , 0.754281352236
gini , 90 , 10 , 0.748176663032
gini , 100 , 2 , 0.752376590331
gini , 100 , 3 , 0.74969829153
gini , 100 , 4 , 0.753903307888
gini , 100 , 5 , 0.747415485278
gini , 100 , 6 , 0.753520174482
gini , 100 , 7 , 0.750471101418
gini , 100 , 8 , 0.751231552163
gini , 100 , 9 , 0.751611050527
gini , 100 , 10 , 0.74436350418
entropy , None , 2 , 0.727564521992
entropy , None , 3 , 0.731008360596
entropy , None , 4 , 0.737496183206
entropy , None , 5 , 0.73596437659
entropy , None , 6 , 0.734437659033
entropy , None , 7 , 0.733293347874
entropy , None , 8 , 0.727569611051
entropy , None , 9 , 0.738635405307
entropy , None , 10 , 0.727185750636
entropy , 5 , 2 , 0.658873864049
entropy , 5 , 3 , 0.660783715013
entropy , 5 , 4 , 0.658493638677
entropy , 5 , 5 , 0.660401308615
entropy , 5 , 6 , 0.659637949836
entropy , 5 , 7 , 0.658111232279
entropy , 5 , 8 , 0.657349327517
entropy , 5 , 9 , 0.65849218466
entropy , 5 , 10 , 0.658112686296
entropy , 10 , 2 , 0.738259541985
entropy , 10 , 3 , 0.743214103962
entropy , 10 , 4 , 0.740929116685
entropy , 10 , 5 , 0.739780443475
entropy , 10 , 6 , 0.737494729189
entropy , 10 , 7 , 0.746650672483
entropy , 10 , 8 , 0.738639040349
entropy , 10 , 9 , 0.737874954562
entropy , 10 , 10 , 0.74207560887
entropy , 20 , 2 , 0.732152671756
entropy , 20 , 3 , 0.731389312977
entropy , 20 , 4 , 0.727573973101
entropy , 20 , 5 , 0.737491094148
entropy , 20 , 6 , 0.735582697201
entropy , 20 , 7 , 0.742069792803
entropy , 20 , 8 , 0.738633224282
entropy , 20 , 9 , 0.7397826245
entropy , 20 , 10 , 0.739783351509
entropy , 30 , 2 , 0.729478007997
entropy , 30 , 3 , 0.727189385678
entropy , 30 , 4 , 0.733672846238
entropy , 30 , 5 , 0.732151944747
entropy , 30 , 6 , 0.737872046529
entropy , 30 , 7 , 0.728719011269
entropy , 30 , 8 , 0.733291166848
entropy , 30 , 9 , 0.732537986187
entropy , 30 , 10 , 0.735965103599
entropy , 40 , 2 , 0.731008360596
entropy , 40 , 3 , 0.73787131952
entropy , 40 , 4 , 0.731768084333
entropy , 40 , 5 , 0.736724100327
entropy , 40 , 6 , 0.729861868411
entropy , 40 , 7 , 0.734822973464
entropy , 40 , 8 , 0.736343874955
entropy , 40 , 9 , 0.734439840058
entropy , 40 , 10 , 0.732529989095
entropy , 50 , 2 , 0.732148309706
entropy , 50 , 3 , 0.728335150854
entropy , 50 , 4 , 0.73062522719
entropy , 50 , 5 , 0.736343874955
entropy , 50 , 6 , 0.731764449291
entropy , 50 , 7 , 0.732914576518
entropy , 50 , 8 , 0.724135223555
entropy , 50 , 9 , 0.739398764086
entropy , 50 , 10 , 0.737114503817
entropy , 60 , 2 , 0.726041439477
entropy , 60 , 3 , 0.728719738277
entropy , 60 , 4 , 0.733668484188
entropy , 60 , 5 , 0.73977826245
entropy , 60 , 6 , 0.729096328608
entropy , 60 , 7 , 0.72947219193
entropy , 60 , 8 , 0.730239912759
entropy , 60 , 9 , 0.736342420938
entropy , 60 , 10 , 0.732149036714
entropy , 70 , 2 , 0.730241366776
entropy , 70 , 3 , 0.732149036714
entropy , 70 , 4 , 0.736351872047
entropy , 70 , 5 , 0.736724100327
entropy , 70 , 6 , 0.73787131952
entropy , 70 , 7 , 0.742450745184
entropy , 70 , 8 , 0.732151217739
entropy , 70 , 9 , 0.73329480189
entropy , 70 , 10 , 0.740540167212
entropy , 80 , 2 , 0.730623046165
entropy , 80 , 3 , 0.729475826972
entropy , 80 , 4 , 0.728333696838
entropy , 80 , 5 , 0.729479462014
entropy , 80 , 6 , 0.738640494366
entropy , 80 , 7 , 0.722232642675
entropy , 80 , 8 , 0.73634605598
entropy , 80 , 9 , 0.742069065794
entropy , 80 , 10 , 0.731387131952
entropy , 90 , 2 , 0.723373318793
entropy , 90 , 3 , 0.746264631043
entropy , 90 , 4 , 0.727572519084
entropy , 90 , 5 , 0.734058887677
entropy , 90 , 6 , 0.732153398764
entropy , 90 , 7 , 0.731766630316
entropy , 90 , 8 , 0.734817884406
entropy , 90 , 9 , 0.739014176663
entropy , 90 , 10 , 0.731006179571
entropy , 100 , 2 , 0.732534351145
entropy , 100 , 3 , 0.732535078153
entropy , 100 , 4 , 0.739781170483
entropy , 100 , 5 , 0.729097055616
entropy , 100 , 6 , 0.731003271538
entropy , 100 , 7 , 0.728712468193
entropy , 100 , 8 , 0.735582697201
entropy , 100 , 9 , 0.732911668484
entropy , 100 , 10 , 0.731771719375
