algorithm , training_set_size , alpha , accuracy
lp_zgl , 200 , 0.0 , 0.51053283767
lp_zgl , 600 , 0.0 , 0.581395348837
lp_zgl , 1000 , 0.0 , 0.56755089451
lp_zgl , 1600 , 0.0 , 0.571008814887
lp_zgl , 2000 , 0.0 , 0.584541062802
adsorption , 200 , 0.0 , 0.51053283767
adsorption , 600 , 0.0 , 0.581395348837
adsorption , 1000 , 0.0 , 0.56755089451
adsorption , 1600 , 0.0 , 0.586679725759
adsorption , 2000 , 0.0 , 0.573268921095
mad , 200 , 0.0 , 0.51053283767
mad , 600 , 0.0 , 0.581395348837
mad , 1000 , 0.0 , 0.56755089451
mad , 1600 , 0.0 , 0.586679725759
mad , 2000 , 0.0 , 0.573268921095
lp_zgl , 200 , 0.2 , 0.51053283767
lp_zgl , 600 , 0.2 , 0.581395348837
lp_zgl , 1000 , 0.2 , 0.56755089451
lp_zgl , 1600 , 0.2 , 0.576885406464
lp_zgl , 2000 , 0.2 , 0.584541062802
adsorption , 200 , 0.2 , 0.461379595209
adsorption , 600 , 0.2 , 0.581395348837
adsorption , 1000 , 0.2 , 0.572486119679
adsorption , 1600 , 0.2 , 0.586679725759
adsorption , 2000 , 0.2 , 0.579710144928
mad , 200 , 0.2 , 0.51053283767
mad , 600 , 0.2 , 0.581395348837
mad , 1000 , 0.2 , 0.568167797656
mad , 1600 , 0.2 , 0.586679725759
mad , 2000 , 0.2 , 0.576489533011
lp_zgl , 200 , 0.4 , 0.477901693515
lp_zgl , 600 , 0.4 , 0.579910935181
lp_zgl , 1000 , 0.4 , 0.57557063541
lp_zgl , 1600 , 0.4 , 0.577864838394
lp_zgl , 2000 , 0.4 , 0.590982286634
adsorption , 200 , 0.4 , 0.455183808344
adsorption , 600 , 0.4 , 0.576447303315
adsorption , 1000 , 0.4 , 0.565700185071
adsorption , 1600 , 0.4 , 0.580803134182
adsorption , 2000 , 0.4 , 0.584541062802
mad , 200 , 0.4 , 0.480793060719
mad , 600 , 0.4 , 0.581890153389
mad , 1000 , 0.4 , 0.568167797656
mad , 1600 , 0.4 , 0.580803134182
mad , 2000 , 0.4 , 0.58615136876
lp_zgl , 200 , 0.6 , 0.450640231309
lp_zgl , 600 , 0.6 , 0.561603166749
lp_zgl , 1000 , 0.6 , 0.571252313387
lp_zgl , 1600 , 0.6 , 0.578844270323
lp_zgl , 2000 , 0.6 , 0.576489533011
adsorption , 200 , 0.6 , 0.450227178852
adsorption , 600 , 0.6 , 0.549233052944
adsorption , 1000 , 0.6 , 0.556446637878
adsorption , 1600 , 0.6 , 0.579823702253
adsorption , 2000 , 0.6 , 0.558776167472
mad , 200 , 0.6 , 0.475423378769
mad , 600 , 0.6 , 0.565066798615
mad , 1000 , 0.6 , 0.563849475632
mad , 1600 , 0.6 , 0.579823702253
mad , 2000 , 0.6 , 0.576489533011
lp_zgl , 200 , 0.8 , 0.450227178852
lp_zgl , 600 , 0.8 , 0.528451261752
lp_zgl , 1000 , 0.8 , 0.561998766194
lp_zgl , 1600 , 0.8 , 0.571988246817
lp_zgl , 2000 , 0.8 , 0.574879227053
adsorption , 200 , 0.8 , 0.450227178852
adsorption , 600 , 0.8 , 0.520534388916
adsorption , 1000 , 0.8 , 0.555212831585
adsorption , 1600 , 0.8 , 0.567091087169
adsorption , 2000 , 0.8 , 0.550724637681
mad , 200 , 0.8 , 0.455596860801
mad , 600 , 0.8 , 0.526966848095
mad , 1000 , 0.8 , 0.558297347316
mad , 1600 , 0.8 , 0.568070519099
mad , 2000 , 0.8 , 0.576489533011
lp_zgl , 200 , 1.0 , 0.452705493598
lp_zgl , 600 , 1.0 , 0.467095497279
lp_zgl , 1000 , 1.0 , 0.485502776064
lp_zgl , 1600 , 1.0 , 0.498530852106
lp_zgl , 2000 , 1.0 , 0.495974235105
adsorption , 200 , 1.0 , 0.0
adsorption , 600 , 1.0 , 0.0
adsorption , 1000 , 1.0 , 0.0
adsorption , 1600 , 1.0 , 0.0
adsorption , 2000 , 1.0 , 0.0
mad , 200 , 1.0 , 0.0
mad , 600 , 1.0 , 0.0
mad , 1000 , 1.0 , 0.0
mad , 1600 , 1.0 , 0.0
mad , 2000 , 1.0 , 0.0
