algorithm , training_set_size , alpha , accuracy
lp_zgl , 200 , 0.0 , 0.546653144016
lp_zgl , 600 , 0.0 , 0.54262086514
lp_zgl , 1000 , 0.0 , 0.556313993174
lp_zgl , 1600 , 0.0 , 0.552447552448
lp_zgl , 2000 , 0.0 , 0.517441860465
adsorption , 200 , 0.0 , 0.546653144016
adsorption , 600 , 0.0 , 0.569974554707
adsorption , 1000 , 0.0 , 0.563139931741
adsorption , 1600 , 0.0 , 0.552447552448
adsorption , 2000 , 0.0 , 0.517441860465
mad , 200 , 0.0 , 0.546653144016
mad , 600 , 0.0 , 0.56106870229
mad , 1000 , 0.0 , 0.563139931741
mad , 1600 , 0.0 , 0.552447552448
mad , 2000 , 0.0 , 0.517441860465
lp_zgl , 200 , 0.2 , 0.546653144016
lp_zgl , 600 , 0.2 , 0.545801526718
lp_zgl , 1000 , 0.2 , 0.556313993174
lp_zgl , 1600 , 0.2 , 0.552447552448
lp_zgl , 2000 , 0.2 , 0.517441860465
adsorption , 200 , 0.2 , 0.546653144016
adsorption , 600 , 0.2 , 0.571246819338
adsorption , 1000 , 0.2 , 0.558873720137
adsorption , 1600 , 0.2 , 0.543706293706
adsorption , 2000 , 0.2 , 0.5
mad , 200 , 0.2 , 0.546653144016
mad , 600 , 0.2 , 0.556615776081
mad , 1000 , 0.2 , 0.56228668942
mad , 1600 , 0.2 , 0.552447552448
mad , 2000 , 0.2 , 0.5
lp_zgl , 200 , 0.4 , 0.546653144016
lp_zgl , 600 , 0.4 , 0.544529262087
lp_zgl , 1000 , 0.4 , 0.558873720137
lp_zgl , 1600 , 0.4 , 0.550699300699
lp_zgl , 2000 , 0.4 , 0.505813953488
adsorption , 200 , 0.4 , 0.546653144016
adsorption , 600 , 0.4 , 0.55534351145
adsorption , 1000 , 0.4 , 0.557167235495
adsorption , 1600 , 0.4 , 0.554195804196
adsorption , 2000 , 0.4 , 0.505813953488
mad , 200 , 0.4 , 0.546653144016
mad , 600 , 0.4 , 0.554071246819
mad , 1000 , 0.4 , 0.557167235495
mad , 1600 , 0.4 , 0.552447552448
mad , 2000 , 0.4 , 0.505813953488
lp_zgl , 200 , 0.6 , 0.546653144016
lp_zgl , 600 , 0.6 , 0.539440203562
lp_zgl , 1000 , 0.6 , 0.555460750853
lp_zgl , 1600 , 0.6 , 0.552447552448
lp_zgl , 2000 , 0.6 , 0.505813953488
adsorption , 200 , 0.6 , 0.546653144016
adsorption , 600 , 0.6 , 0.559796437659
adsorption , 1000 , 0.6 , 0.557167235495
adsorption , 1600 , 0.6 , 0.554195804196
adsorption , 2000 , 0.6 , 0.505813953488
mad , 200 , 0.6 , 0.546653144016
mad , 600 , 0.6 , 0.552798982188
mad , 1000 , 0.6 , 0.557167235495
mad , 1600 , 0.6 , 0.554195804196
mad , 2000 , 0.6 , 0.505813953488
lp_zgl , 200 , 0.8 , 0.546653144016
lp_zgl , 600 , 0.8 , 0.538167938931
lp_zgl , 1000 , 0.8 , 0.557167235495
lp_zgl , 1600 , 0.8 , 0.554195804196
lp_zgl , 2000 , 0.8 , 0.505813953488
adsorption , 200 , 0.8 , 0.546653144016
adsorption , 600 , 0.8 , 0.547073791349
adsorption , 1000 , 0.8 , 0.557167235495
adsorption , 1600 , 0.8 , 0.554195804196
adsorption , 2000 , 0.8 , 0.505813953488
mad , 200 , 0.8 , 0.546653144016
mad , 600 , 0.8 , 0.552162849873
mad , 1000 , 0.8 , 0.557167235495
mad , 1600 , 0.8 , 0.554195804196
mad , 2000 , 0.8 , 0.505813953488
lp_zgl , 200 , 1.0 , 0.546653144016
lp_zgl , 600 , 1.0 , 0.519720101781
lp_zgl , 1000 , 1.0 , 0.557167235495
lp_zgl , 1600 , 1.0 , 0.554195804196
lp_zgl , 2000 , 1.0 , 0.505813953488
adsorption , 200 , 1.0 , 0.546653144016
adsorption , 600 , 1.0 , 0.526717557252
adsorption , 1000 , 1.0 , 0.557167235495
adsorption , 1600 , 1.0 , 0.554195804196
adsorption , 2000 , 1.0 , 0.505813953488
mad , 200 , 1.0 , 0.546653144016
mad , 600 , 1.0 , 0.537531806616
mad , 1000 , 1.0 , 0.557167235495
mad , 1600 , 1.0 , 0.554195804196
mad , 2000 , 1.0 , 0.505813953488
