kernel , C , gamma , Accuracy
rbf , 1 , 0.0001 , 0.542159214831
rbf , 1 , 0.001 , 0.542159214831
rbf , 1 , 0.01 , 0.539487459106
rbf , 1 , 0.1 , 0.593279534715
rbf , 1 , 1 , 0.611595056343
rbf , 10 , 0.0001 , 0.542159214831
rbf , 10 , 0.001 , 0.539105779716
rbf , 10 , 0.01 , 0.571917848055
rbf , 10 , 0.1 , 0.613122500909
rbf , 10 , 1 , 0.582977099237
rbf , 20 , 0.0001 , 0.542159214831
rbf , 20 , 0.001 , 0.542918938568
rbf , 20 , 0.01 , 0.58946346783
rbf , 20 , 0.1 , 0.619608142494
rbf , 20 , 1 , 0.578397673573
rbf , 30 , 0.0001 , 0.542159214831
rbf , 30 , 0.001 , 0.543302071974
rbf , 30 , 0.01 , 0.592516902944
rbf , 30 , 0.1 , 0.625327517266
rbf , 30 , 1 , 0.574202835333
rbf , 40 , 0.0001 , 0.542159214831
rbf , 40 , 0.001 , 0.547118865867
rbf , 40 , 0.01 , 0.596710287168
rbf , 40 , 0.1 , 0.624566339513
rbf , 40 , 1 , 0.564663758633
rbf , 50 , 0.0001 , 0.542159214831
rbf , 50 , 0.001 , 0.548264631043
rbf , 50 , 0.01 , 0.599761541258
rbf , 50 , 0.1 , 0.621894583788
rbf , 50 , 1 , 0.557408942203
poly , 1 , 0.0001 , 0.542159214831
poly , 1 , 0.001 , 0.542159214831
poly , 1 , 0.01 , 0.542159214831
poly , 1 , 0.1 , 0.543303525991
poly , 1 , 1 , 0.59213740458
poly , 10 , 0.0001 , 0.542159214831
poly , 10 , 0.001 , 0.542159214831
poly , 10 , 0.01 , 0.542159214831
poly , 10 , 0.1 , 0.584501635769
poly , 10 , 1 , 0.550163576881
poly , 20 , 0.0001 , 0.542159214831
poly , 20 , 0.001 , 0.542159214831
poly , 20 , 0.01 , 0.542159214831
poly , 20 , 0.1 , 0.593279534715
poly , 20 , 1 , 0.549403126136
poly , 30 , 0.0001 , 0.542159214831
poly , 30 , 0.001 , 0.542159214831
poly , 30 , 0.01 , 0.542159214831
poly , 30 , 0.1 , 0.603579062159
poly , 30 , 1 , 0.547879316612
poly , 40 , 0.0001 , 0.542159214831
poly , 40 , 0.001 , 0.542159214831
poly , 40 , 0.01 , 0.542159214831
poly , 40 , 0.1 , 0.609683024355
poly , 40 , 1 , 0.546353326063
poly , 50 , 0.0001 , 0.542159214831
poly , 50 , 0.001 , 0.542159214831
poly , 50 , 0.01 , 0.542159214831
poly , 50 , 0.1 , 0.608540167212
poly , 50 , 1 , 0.544828062523
sigmoid , 1 , 0.0001 , 0.542159214831
sigmoid , 1 , 0.001 , 0.542159214831
sigmoid , 1 , 0.01 , 0.542159214831
sigmoid , 1 , 0.1 , 0.551699745547
sigmoid , 1 , 1 , 0.492562704471
sigmoid , 10 , 0.0001 , 0.542159214831
sigmoid , 10 , 0.001 , 0.542159214831
sigmoid , 10 , 0.01 , 0.54902871683
sigmoid , 10 , 0.1 , 0.513535441658
sigmoid , 10 , 1 , 0.497141403126
sigmoid , 20 , 0.0001 , 0.542159214831
sigmoid , 20 , 0.001 , 0.539105779716
sigmoid , 20 , 0.01 , 0.555890948746
sigmoid , 20 , 0.1 , 0.492183206107
sigmoid , 20 , 1 , 0.501339876409
sigmoid , 30 , 0.0001 , 0.542159214831
sigmoid , 30 , 0.001 , 0.537578335151
sigmoid , 30 , 0.01 , 0.562760450745
sigmoid , 30 , 0.1 , 0.483786259542
sigmoid , 30 , 1 , 0.500958197019
sigmoid , 40 , 0.0001 , 0.542159214831
sigmoid , 40 , 0.001 , 0.542918938568
sigmoid , 40 , 0.01 , 0.576873137041
sigmoid , 40 , 0.1 , 0.472735005453
sigmoid , 40 , 1 , 0.500194838241
sigmoid , 50 , 0.0001 , 0.542159214831
sigmoid , 50 , 0.001 , 0.543302798982
sigmoid , 50 , 0.01 , 0.584885496183
sigmoid , 50 , 0.1 , 0.468526354053
sigmoid , 50 , 1 , 0.500958197019
