politician , labes1-labels2, mean_similarity , std_similarity
Politician 0 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 0 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 0 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 1 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 1 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 1 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 2 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 2 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 2 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 3 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 3 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 3 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 4 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 4 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 4 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 5 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 5 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 5 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 6 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 6 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 6 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 7 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 7 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 7 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 8 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 8 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 8 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 9 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 9 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 9 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 10 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 10 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 10 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 11 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 11 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 11 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 12 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 12 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 12 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 13 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 13 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 13 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 14 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 14 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 14 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 15 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 15 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 15 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 16 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 16 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 16 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 17 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 17 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 17 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 18 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 18 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 18 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 19 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 19 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 19 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 20 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 20 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 20 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 21 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 21 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 21 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 22 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 22 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 22 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 23 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 23 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 23 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 24 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 24 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 24 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 25 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 25 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 25 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 26 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 26 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 26 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 27 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 27 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 27 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 28 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 28 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 28 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 29 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 29 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 29 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 30 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 30 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 30 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 31 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 31 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 31 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 32 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 32 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 32 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 33 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 33 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 33 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 34 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 34 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 34 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 35 , favor-favor , 0.0461185236897 , 0.364831922862
Politician 35 , favor-oppose , 0.0387421500631 , 0.362340306216
Politician 35 , oppose-oppose , 0.0401718494742 , 0.370516844826
Politician 36 , favor-favor , 0.0461185236897 , 0.364831922862
