topic , labes1-labels2, mean_similarity , std_similarity
Topic 0 , favor-favor , 0.115967937778 , 0.196900402769
Topic 0 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 0 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 1 , favor-favor , 0.115967937778 , 0.196900402769
Topic 1 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 1 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 2 , favor-favor , 0.115967937778 , 0.196900402769
Topic 2 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 2 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 3 , favor-favor , 0.115967937778 , 0.196900402769
Topic 3 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 3 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 4 , favor-favor , 0.115967937778 , 0.196900402769
Topic 4 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 4 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 5 , favor-favor , 0.115967937778 , 0.196900402769
Topic 5 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 5 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 6 , favor-favor , 0.115967937778 , 0.196900402769
Topic 6 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 6 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 7 , favor-favor , 0.115967937778 , 0.196900402769
Topic 7 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 7 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 8 , favor-favor , 0.115967937778 , 0.196900402769
Topic 8 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 8 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 9 , favor-favor , 0.115967937778 , 0.196900402769
Topic 9 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 9 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 10 , favor-favor , 0.115967937778 , 0.196900402769
Topic 10 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 10 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 11 , favor-favor , 0.115967937778 , 0.196900402769
Topic 11 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 11 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 12 , favor-favor , 0.115967937778 , 0.196900402769
Topic 12 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 12 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 13 , favor-favor , 0.115967937778 , 0.196900402769
Topic 13 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 13 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 14 , favor-favor , 0.115967937778 , 0.196900402769
Topic 14 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 14 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 15 , favor-favor , 0.115967937778 , 0.196900402769
Topic 15 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 15 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 16 , favor-favor , 0.115967937778 , 0.196900402769
Topic 16 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 16 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 17 , favor-favor , 0.115967937778 , 0.196900402769
Topic 17 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 17 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 18 , favor-favor , 0.115967937778 , 0.196900402769
Topic 18 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 18 , oppose-oppose , 0.116926326426 , 0.194687029202
Topic 19 , favor-favor , 0.115967937778 , 0.196900402769
Topic 19 , favor-oppose , 0.115827499168 , 0.194816418745
Topic 19 , oppose-oppose , 0.116926326426 , 0.194687029202
