kernel , C , gamma , Accuracy
sigmoid , 1 , 0.0001 , 0.54215921483097063
sigmoid , 1 , 0.001 , 0.54215921483097063
sigmoid , 1 , 0.01 , 0.54215921483097063
sigmoid , 1 , 0.1 , 0.56581679389312978
sigmoid , 1 , 1 , 0.58603053435114505
sigmoid , 10 , 0.0001 , 0.54215921483097063
sigmoid , 10 , 0.001 , 0.54215921483097063
sigmoid , 10 , 0.01 , 0.56581679389312978
sigmoid , 10 , 0.1 , 0.58259978189749184
sigmoid , 10 , 1 , 0.54292475463467826
sigmoid , 20 , 0.0001 , 0.54215921483097063
sigmoid , 20 , 0.001 , 0.54215921483097063
sigmoid , 20 , 0.01 , 0.57344020356234104
sigmoid , 20 , 0.1 , 0.5909974554707379
sigmoid , 20 , 1 , 0.53147291893856774
sigmoid , 30 , 0.0001 , 0.54215921483097063
sigmoid , 30 , 0.001 , 0.54215921483097063
sigmoid , 30 , 0.01 , 0.57267684478371506
sigmoid , 30 , 0.1 , 0.59519447473645948
sigmoid , 30 , 1 , 0.53376663031624871
sigmoid , 40 , 0.0001 , 0.54215921483097063
sigmoid , 40 , 0.001 , 0.54673791348600509
sigmoid , 40 , 0.01 , 0.57153107960741545
sigmoid , 40 , 0.1 , 0.60053435114503817
sigmoid , 40 , 1 , 0.53567502726281357
sigmoid , 50 , 0.0001 , 0.54215921483097063
sigmoid , 50 , 0.001 , 0.54673864049436571
sigmoid , 50 , 0.01 , 0.5742028353326063
sigmoid , 50 , 0.1 , 0.60168011632133767
sigmoid , 50 , 1 , 0.52842748091603053
